Grantee,Total awarded:,Grant purpose,Grantee website,Year(s) granted:,Focus area,Service area,Returned/Cancelled grant?,Reason cancelled/returned:,City,Lat,Long,Area,Legislative district,Project
coLAB Arts,$10000.00,"Blue Engine Technology & Sustainability Accelerator cohort members all received a $10,000 technology grant used to implement new technological solutions for the respective organizations. This includes, but is not limited to, software and hardware updates including website development, subscriptions for cloud-based applications, computer equipment, etc. ",www.colab-arts.org,2024,Blue Engine Tech & Sustainability Accelerator Grant,Central Jersey,,,New Brunswick,40.4922,-74.4513,Central Jersey,17,Blue Engine Technology & Sustainability Accelerator cohort
TAPinto FairLawn/GlenRock,$10000.00,"Blue Engine Technology & Sustainability Accelerator cohort members all received a $10,000 technology grant used to implement new technological solutions for the respective organizations. This includes, but is not limited to, software and hardware updates including website development, subscriptions for cloud-based applications, computer equipment, etc. ",https://www.tapinto.net,2024,Blue Engine Tech & Sustainability Accelerator Grant,Bergen County,,,Fair Lawn,40.9401,-74.1321,North Jersey,38,Blue Engine Technology & Sustainability Accelerator cohort
Black in Jersey,$10000.00,"Blue Engine Technology & Sustainability Accelerator cohort members all received a $10,000 technology grant used to implement new technological solutions for the respective organizations. This includes, but is not limited to, software and hardware updates including website development, subscriptions for cloud-based applications, computer equipment, etc. ",www.blackinjersey.com,2024,Blue Engine Tech & Sustainability Accelerator Grant,Statewide,,,Trenton,40.2171,-74.7429,Central Jersey,15,Blue Engine Technology & Sustainability Accelerator cohort
Newark News and Story Collaborative,$210000.00,"to train residents, local reporters, and mediamakers to respond to Newark residents’ information needs and concerns that capture the true essence of the city. Its lab comprises resident-reporters that produce unique coverage of issues impacting diverse communities in Newark that lack traditional media coverage and are not covered by traditional media.
",https://www.newarkstories.com,"2021,2022,2023",Journalism pipeline,Essex County,,,Newark,40.7357,-74.1724,North Jersey,29,Newark news lab
Lens 15 Media,$50000.00,"to launch a news agency that produces accessible, multimedia reports for and about people with disabilities in New Jersey. This grant was funded in part by support from New Jersey Health Initiatives (NJHI), a statewide grantmaking program of the Robert Wood Johnson Foundation.
",https://lens15.com,2022,Civic news and information reporting,Statewide,,,Newark,40.7357,-74.1724,North Jersey,29,Disability news agency
MercerMe,$75000.00,"to support organizational growth and sustainability, helping ensure continued access to free, reliable local news for Mercer county community.",https://mercerme.com/,2025,Civic news and information reporting,Mercer County,,,Pennington,40.3249,-74.7888,Central Jersey,15,Organizational sustainability support
The Conservatory of Music and Performing Arts Society,$35000.00,"to support Let My People Learn-HistorVic Education, a project that helps young people learn more about the workings of local governments and how policies and laws impact their communities.",https://www.facebook.com/COMPAStrentonnj/,2021,Civic news and information reporting,Mercer County,,,Trenton,40.2206,-74.7597,Central Jersey,15,Let My People Learn-HistorVic Education
Montclair Local Nonprofit News,$10000.00,"Blue Engine Technology & Sustainability Accelerator cohort members all received a $10,000 technology grant used to implement new technological solutions for the respective organizations. This includes, but is not limited to, software and hardware updates including website development, subscriptions for cloud-based applications, computer equipment, etc. ",montclairlocal.news,2024,Blue Engine Tech & Sustainability Accelerator Grant,Essex County,,,Montclair,40.8259,-74.2090,North Jersey,27,Blue Engine Technology & Sustainability Accelerator cohort
Central New Jersey Network,$145000.00,"to support The Central New Jersey Network, a non-profit community TV station based in Somerset County. Funding will be used to expand its programming and internship opportunities, with a focus on amplifying diverse voices and strengthening community connections. The project will cover local events in underrepresented areas like Trenton and rural Central Jersey while recruiting interns from local colleges, particularly from underrepresented and impoverished communities, to promote diversity in media production.
",http://cnjn.org,"2024,2025",Civic news and information reporting,Somerset County,,,Somerville,40.5693,-74.6094,Central Jersey,23,Community TV programming and internships
Front Runner New Jersey,$405000.00,"to support Front Runner New Jersey, a new site led by a veteran journalist who seeks to maintain and expand its coverage and bring a new perspective on the people, events, and issues making an impact on the African American and Latino communities in Atlantic City and South Jersey. Front Runner brings a restorative perspective to news and information reporting. 
",https://frontrunnernewjersey.com,"2022,2023,2024,2025",Civic news and information reporting,South Jersey,,,Atlantic City,39.3643,-74.4229,South Jersey,2,African American and Latino community coverage
Center for Cooperative Media,$225000.00,"to launch the NJ News Commons Spanish Translation Service, partnering with the largest Spanish-language and mainstream media outlets in the state to translate statewide news — especially elections-related content and voter information — into Spanish. This project builds on previous pilot work around translating pandemic coverage.
",https://centerforcooperativemedia.org,"2022,2023,2024,2025",Civic news and information reporting,Statewide,,,Montclair,40.8259,-74.2090,North Jersey,27,NJ News Commons Spanish Translation Service
South Jersey Emerging Journalists Project,$50000.00,"Formerly known as the South Jersey Information Equity Project based at the Center for Cooperative Media. The South Jersey Emerging Journalist Project provides training, fellowships, and professional development for Black journalists across South Jersey. Funding supports leadership capacity and journalist fellowships that strengthens pathways into journalism careers.",https://sjejp.org/,2025,Journalism pipeline,South Jersey,,,Camden,39.9259,-75.1196,South Jersey,5,South Jersey Emerging Journalists Project
